latitude,longitude,source
42.3642,-71.0577,Employee Generated
42.3231,-71.0991,Employee Generated
42.3786,-71.0492,Employee Generated
42.3464,-71.0782,Employee Generated
42.3438,-71.1384,Employee Generated
42.3038,-71.0847,Employee Generated
42.3072,-71.1035,Employee Generated
42.3382,-71.0844,Employee Generated
42.3833,-71.0755,Employee Generated
42.3833,-71.0755,Employee Generated
42.3821,-71.04,Employee Generated
42.373,-71.0396,Employee Generated
42.3833,-71.0755,Employee Generated
42.3594,-71.0587,Employee Generated
42.352,-71.1622,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3699,-71.0353,Employee Generated
42.3698,-71.0355,Employee Generated
42.3674,-71.0354,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.2348,-71.1283,Employee Generated
42.3419,-71.085,Employee Generated
42.3521,-71.0596,Employee Generated
42.2976,-71.0812,Employee Generated
42.3231,-71.0991,Employee Generated
42.3594,-71.0587,Employee Generated
42.3469,-71.0718,Employee Generated
42.3381,-71.0697,Employee Generated
42.3382,-71.0731,Employee Generated
42.3382,-71.0731,Employee Generated
42.3396,-71.0653,Employee Generated
42.2803,-71.1596,Employee Generated
42.2953,-71.1706,Employee Generated
42.3749,-71.0601,Employee Generated
42.2935,-71.09,Employee Generated
42.311,-71.0891,Employee Generated
42.3165,-71.0761,Employee Generated
42.3275,-71.0689,Employee Generated
42.3373,-71.0753,Employee Generated
42.3594,-71.0587,Employee Generated
42.2933,-71.1336,Employee Generated
42.3594,-71.0587,Employee Generated
42.2806,-71.1677,Employee Generated
42.277,-71.1525,Employee Generated
42.291,-71.1642,Employee Generated
42.2905,-71.1521,Employee Generated
42.3157,-71.0851,Employee Generated
42.345,-71.0904,Employee Generated
42.2912,-71.1455,Employee Generated
42.3594,-71.0587,Employee Generated
42.3455,-71.0797,Employee Generated
42.2979,-71.0707,Employee Generated
42.3382,-71.0844,Employee Generated
42.2975,-71.1148,Employee Generated
42.3578,-71.0691,Employee Generated
42.3731,-71.0396,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3824,-71.0354,Employee Generated
42.3594,-71.0587,Employee Generated
42.3812,-71.0388,Employee Generated
42.3796,-71.0581,Employee Generated
42.3594,-71.0587,Employee Generated
42.3556,-71.1608,Employee Generated
42.3084,-71.0757,Employee Generated
42.344,-71.0772,Employee Generated
42.3401,-71.0794,Employee Generated
42.2919,-71.146,Employee Generated
42.3594,-71.0587,Employee Generated
42.3134,-71.0684,Employee Generated
42.3303,-71.1041,Employee Generated
42.2646,-71.1653,Employee Generated
42.2829,-71.0885,Employee Generated
42.3207,-71.0759,Employee Generated
42.3165,-71.0761,Employee Generated
42.3594,-71.0587,Employee Generated
42.3121,-71.0576,Employee Generated
42.3594,-71.0587,Employee Generated
42.3499,-71.0886,Employee Generated
42.2623,-71.1575,Employee Generated
42.2868,-71.1667,Employee Generated
42.316,-71.0861,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3315,-71.0825,Employee Generated
42.3594,-71.0587,Employee Generated
42.3824,-71.0402,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3825,-71.0363,Employee Generated
42.3524,-71.0732,Employee Generated
42.3788,-71.0295,Employee Generated
42.3833,-71.0755,Employee Generated
42.2733,-71.1426,Employee Generated
42.3381,-71.0724,Employee Generated
42.3585,-71.067,Employee Generated
42.3578,-71.0691,Employee Generated
42.3578,-71.069,Employee Generated
42.3581,-71.0667,Employee Generated
42.313,-71.0544,Employee Generated
42.3594,-71.0587,Employee Generated
42.3524,-71.0732,Employee Generated
42.3833,-71.0755,Employee Generated
42.3808,-71.0153,Employee Generated
42.3818,-71.0398,Employee Generated
42.3825,-71.0363,Employee Generated
42.3788,-71.0295,Employee Generated
42.3594,-71.0587,Employee Generated
42.3798,-71.0583,Employee Generated
42.3594,-71.0587,Employee Generated
42.3376,-71.0779,Employee Generated
42.3382,-71.0721,Employee Generated
42.3371,-71.0766,Employee Generated
42.3499,-71.0792,Employee Generated
42.3633,-71.0536,Employee Generated
42.3068,-71.1049,Employee Generated
42.3594,-71.0587,Employee Generated
42.3302,-71.104,Employee Generated
42.2815,-71.0726,Employee Generated
42.3594,-71.0587,Employee Generated
42.3511,-71.0866,Employee Generated
42.3594,-71.0587,Employee Generated
42.3812,-71.037,Employee Generated
42.333,-71.053,Employee Generated
42.2959,-71.0612,Employee Generated
42.3594,-71.0587,Employee Generated
42.3812,-71.0291,Employee Generated
42.3594,-71.0587,Employee Generated
42.3079,-71.0752,Employee Generated
42.2354,-71.1321,Employee Generated
42.2892,-71.076,Employee Generated
42.3651,-71.0528,Employee Generated
42.3594,-71.0587,Employee Generated
42.3824,-71.0354,Employee Generated
42.3731,-71.0396,Employee Generated
42.3812,-71.0388,Employee Generated
42.3594,-71.0587,Employee Generated
42.3316,-71.0982,Employee Generated
42.3594,-71.0587,Employee Generated
42.3374,-71.0777,Employee Generated
42.2614,-71.1044,Employee Generated
42.2758,-71.0945,Employee Generated
42.3437,-71.0709,Employee Generated
42.3231,-71.0768,Employee Generated
42.3276,-71.095,Employee Generated
42.3793,-71.0556,Employee Generated
42.3594,-71.0587,Employee Generated
42.2672,-71.1522,Employee Generated
42.2903,-71.0655,Employee Generated
42.3436,-71.0746,Employee Generated
42.3594,-71.0587,Employee Generated
42.2841,-71.149,Employee Generated
42.3821,-71.04,Employee Generated
42.3594,-71.0587,Employee Generated
42.3445,-71.0868,Employee Generated
42.3447,-71.0672,Employee Generated
42.2911,-71.0508,Employee Generated
42.3594,-71.0587,Employee Generated
42.3833,-71.0755,Employee Generated
42.3833,-71.0755,Employee Generated
42.3825,-71.04,Employee Generated
42.3812,-71.0386,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.2935,-71.0702,Employee Generated
42.2908,-71.1232,Employee Generated
42.3549,-71.143,Employee Generated
42.3746,-71.0657,Employee Generated
42.3777,-71.068,Employee Generated
42.3827,-71.035,Employee Generated
42.3824,-71.0341,Employee Generated
42.3828,-71.0295,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3791,-71.0285,Employee Generated
42.3842,-71.0183,Employee Generated
42.3529,-71.0792,Employee Generated
42.3526,-71.0841,Employee Generated
42.3743,-71.0628,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3738,-71.0358,Employee Generated
42.3738,-71.0357,Employee Generated
42.3745,-71.0362,Employee Generated
42.35,-71.0582,Employee Generated
42.35,-71.0582,Employee Generated
42.3203,-71.0622,Employee Generated
42.2824,-71.0655,Employee Generated
42.2803,-71.1596,Employee Generated
42.3594,-71.0587,Employee Generated
42.28,-71.0705,Employee Generated
42.3594,-71.0587,Employee Generated
42.3859,-71.0051,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3665,-71.0548,Employee Generated
42.2688,-71.1258,Employee Generated
42.2708,-71.1096,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3827,-71.0214,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3594,-71.0587,Employee Generated
42.3707,-71.0369,Employee Generated
42.3865,-71.0079,Employee Generated
42.3038,-71.0847,Employee Generated
42.3594,-71.0587,Employee Generated
42.2699,-71.1637,Employee Generated
42.3594,-71.0587,Employee Generated
42.3376,-71.0748,Employee Generated
42.3396,-71.0653,Employee Generated
42.2689,-71.0969,Employee Generated
42.2656,-71.1007,Employee Generated
42.3863,-71.0086,Employee Generated
42.3666,-71.0341,Employee Generated
42.2818,-71.0671,Employee Generated
42.3001,-71.1604,Employee Generated
42.3594,-71.0587,Employee Generated
42.3598,-71.0602,Employee Generated
42.3068,-71.1049,Employee Generated
42.3594,-71.0587,Employee Generated
42.346,-71.0853,Employee Generated
42.3462,-71.0789,Employee Generated
42.378,-71.0659,Employee Generated
42.3622,-71.1306,Employee Generated
42.3456,-71.0724,Employee Generated
42.2896,-71.1442,Employee Generated
42.2908,-71.1638,Employee Generated
42.2912,-71.1607,Employee Generated
42.29,-71.165,Employee Generated
42.3385,-71.0814,Employee Generated
42.3594,-71.0587,Employee Generated
42.3578,-71.0689,Employee Generated
42.3731,-71.0396,Employee Generated
42.3594,-71.0587,Employee Generated
42.3816,-71.0288,Employee Generated
42.3895,-70.9987,Employee Generated
