subject,latitude,longitude
Parks & Recreation Department,42.3431,-71.0683
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3489,-71.152
Parks & Recreation Department,42.3065,-71.0847
Inspectional Services,42.284,-71.1576
Parks & Recreation Department,42.3584,-71.0676
Parks & Recreation Department,42.3584,-71.0679
Parks & Recreation Department,42.358,-71.0673
Parks & Recreation Department,42.3581,-71.0664
Inspectional Services,42.3614,-71.0527
Parks & Recreation Department,42.3603,-71.0583
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3515,-71.0605
Inspectional Services,42.3607,-71.0702
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3365,-71.086
Inspectional Services,42.3277,-71.0551
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3114,-71.0742
Inspectional Services,42.3779,-71.0297
Parks & Recreation Department,42.3455,-71.0851
Inspectional Services,42.3469,-71.1342
Inspectional Services,42.3488,-71.0831
Inspectional Services,42.3648,-71.0565
Inspectional Services,42.3511,-71.0862
Inspectional Services,42.3509,-71.043
Inspectional Services,42.333,-71.0521
Inspectional Services,42.3066,-71.0601
Inspectional Services,42.2955,-71.0781
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3501,-71.0669
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.364,-71.0574
Inspectional Services,42.3529,-71.1295
Inspectional Services,42.343,-71.0699
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3465,-71.1358
Inspectional Services,42.3648,-71.0565
Inspectional Services,42.335,-71.0532
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3153,-71.0972
Inspectional Services,42.3755,-71.0347
Inspectional Services,42.3486,-71.089
Parks & Recreation Department,42.3648,-71.062
Inspectional Services,42.3371,-71.0536
Inspectional Services,42.3694,-71.0403
Inspectional Services,42.3517,-71.1702
Parks & Recreation Department,42.3053,-71.0626
Parks & Recreation Department,42.3413,-71.0832
Parks & Recreation Department,42.3405,-71.0827
Inspectional Services,42.2866,-71.0743
Inspectional Services,42.3121,-71.0914
Inspectional Services,42.3548,-71.139
Inspectional Services,42.2645,-71.1055
Inspectional Services,42.3413,-71.0874
Parks & Recreation Department,42.3592,-71.0663
Inspectional Services,42.318,-71.0711
Inspectional Services,42.2923,-71.0743
Inspectional Services,42.3126,-71.0546
Inspectional Services,42.3783,-71.0295
Inspectional Services,42.349,-71.0467
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3552,-71.1596
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3398,-71.0812
Inspectional Services,42.3789,-71.0289
Parks & Recreation Department,42.3828,-71.0295
Parks & Recreation Department,42.2796,-71.0526
Inspectional Services,42.3688,-71.0365
Inspectional Services,42.3422,-71.0902
Inspectional Services,42.3592,-71.0671
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3558,-71.1703
Inspectional Services,42.3313,-71.0406
Inspectional Services,42.309,-71.0903
Inspectional Services,42.2685,-71.1504
Inspectional Services,42.3511,-71.0862
Inspectional Services,42.3323,-71.0437
Inspectional Services,42.345,-71.1427
Inspectional Services,42.3465,-71.1446
Inspectional Services,42.3443,-71.0813
Parks & Recreation Department,42.2673,-71.1274
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3473,-71.0815
Parks & Recreation Department,42.2782,-71.1299
Inspectional Services,42.3069,-71.1112
Inspectional Services,42.3083,-71.0888
Inspectional Services,42.283,-71.1584
Inspectional Services,42.3065,-71.0656
Inspectional Services,42.3353,-71.0455
Inspectional Services,42.301,-71.0842
Parks & Recreation Department,42.2882,-71.1223
Parks & Recreation Department,42.343,-71.08
Inspectional Services,42.3511,-71.1268
Parks & Recreation Department,42.3593,-71.0661
Parks & Recreation Department,42.2924,-71.1361
Inspectional Services,42.2885,-71.0907
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3078,-71.0753
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3685,-71.0566
Parks & Recreation Department,42.273,-71.1387
Inspectional Services,42.3189,-71.0569
Parks & Recreation Department,42.3119,-71.0623
Parks & Recreation Department,42.2979,-71.0649
Parks & Recreation Department,42.2776,-71.1509
Inspectional Services,42.3049,-71.0762
Inspectional Services,42.3601,-71.0689
Inspectional Services,42.3372,-71.0786
Parks & Recreation Department,42.3432,-71.0804
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3126,-71.1125
Inspectional Services,42.283,-71.123
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.2792,-71.1534
Parks & Recreation Department,42.2787,-71.1561
Inspectional Services,42.3447,-71.096
Inspectional Services,42.3126,-71.0681
Inspectional Services,42.3823,-71.0174
Parks & Recreation Department,42.2418,-71.1234
Inspectional Services,42.29,-71.0764
Inspectional Services,42.3173,-71.0896
Parks & Recreation Department,42.2638,-71.1227
Inspectional Services,42.3798,-71.0377
Parks & Recreation Department,42.2787,-71.1538
Parks & Recreation Department,42.368,-71.0362
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3329,-71.0425
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3438,-71.0791
Parks & Recreation Department,42.3443,-71.1557
Inspectional Services,42.3779,-71.0664
Inspectional Services,42.3338,-71.0376
Inspectional Services,42.349,-71.0467
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.2784,-71.0681
Inspectional Services,42.3375,-71.105
Inspectional Services,42.3348,-71.0523
Inspectional Services,42.2689,-71.1492
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3156,-71.0622
Inspectional Services,42.2912,-71.0526
Inspectional Services,42.3796,-71.03
Inspectional Services,42.26,-71.1501
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3595,-71.0588
Parks & Recreation Department,42.3156,-71.1176
Parks & Recreation Department,42.3036,-71.072
Parks & Recreation Department,42.3287,-71.0559
Parks & Recreation Department,42.3287,-71.0559
Parks & Recreation Department,42.2778,-71.071
Inspectional Services,42.342,-71.1464
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3463,-71.1368
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3531,-71.0587
Inspectional Services,42.2517,-71.1248
Parks & Recreation Department,42.3557,-71.1368
Inspectional Services,42.3546,-71.0579
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.357,-71.0693
Parks & Recreation Department,42.3108,-71.0488
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3428,-71.0783
Parks & Recreation Department,42.3095,-71.1207
Parks & Recreation Department,42.2947,-71.1535
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3211,-71.1189
Inspectional Services,42.2998,-71.086
Parks & Recreation Department,42.3426,-71.0723
Inspectional Services,42.3093,-71.0511
Inspectional Services,42.3651,-71.0556
Parks & Recreation Department,42.37,-71.0615
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.282,-71.1203
Inspectional Services,42.3652,-71.0553
Inspectional Services,42.3455,-71.0797
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3357,-71.0746
Inspectional Services,42.3354,-71.0777
Inspectional Services,42.2955,-71.0752
Inspectional Services,42.286,-71.1391
Inspectional Services,42.3447,-71.0812
Inspectional Services,42.2767,-71.0946
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.2604,-71.1475
Parks & Recreation Department,42.3494,-71.091
Inspectional Services,42.3529,-71.0729
Inspectional Services,42.3769,-71.0658
Inspectional Services,42.3151,-71.0988
Inspectional Services,42.3172,-71.0599
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.2875,-71.07
Inspectional Services,42.3148,-71.0566
Inspectional Services,42.3462,-71.0721
Inspectional Services,42.3419,-71.0701
Inspectional Services,42.3116,-71.0782
Parks & Recreation Department,42.3056,-71.0839
Inspectional Services,42.275,-71.1148
Inspectional Services,42.3182,-71.0968
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3123,-71.1118
Inspectional Services,42.3497,-71.0428
Inspectional Services,42.3491,-71.0837
Inspectional Services,42.3378,-71.0277
Parks & Recreation Department,42.2713,-71.0623
Inspectional Services,42.2978,-71.0826
Parks & Recreation Department,42.3465,-71.0853
Parks & Recreation Department,42.3438,-71.0819
Parks & Recreation Department,42.2643,-71.1274
Inspectional Services,42.3497,-71.1553
Inspectional Services,42.3371,-71.0781
Inspectional Services,42.3431,-71.0559
Inspectional Services,42.3649,-71.0568
Inspectional Services,42.3262,-71.1069
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3595,-71.067
Inspectional Services,42.3113,-71.0595
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3456,-71.0877
Parks & Recreation Department,42.331,-71.0801
Inspectional Services,42.3548,-71.139
Inspectional Services,42.3401,-71.0523
Parks & Recreation Department,42.3399,-71.0726
Parks & Recreation Department,42.3675,-71.0547
Parks & Recreation Department,42.2866,-71.135
Parks & Recreation Department,42.3516,-71.0776
Parks & Recreation Department,42.3442,-71.0797
Inspectional Services,42.3313,-71.054
Inspectional Services,42.3081,-71.0653
Inspectional Services,42.3362,-71.0482
Inspectional Services,42.316,-71.0916
Inspectional Services,42.3171,-71.0565
Parks & Recreation Department,42.3593,-71.0661
Inspectional Services,42.3332,-71.0476
Inspectional Services,42.3344,-71.0761
Inspectional Services,42.3446,-71.0693
Inspectional Services,42.3779,-71.0551
Inspectional Services,42.3567,-71.0526
Parks & Recreation Department,42.2769,-71.1488
Inspectional Services,42.3456,-71.088
Inspectional Services,42.3354,-71.0398
Inspectional Services,42.3227,-71.0798
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.2687,-71.1731
Inspectional Services,42.3626,-71.0593
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3365,-71.0398
Inspectional Services,42.3455,-71.0713
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3143,-71.0901
Inspectional Services,42.3529,-71.1205
Inspectional Services,42.335,-71.0398
Parks & Recreation Department,42.2748,-71.0769
Inspectional Services,42.3594,-71.0587
Inspectional Services,42.3228,-71.0733
Parks & Recreation Department,42.2937,-71.0552
Inspectional Services,42.2837,-71.0817
Inspectional Services,42.2685,-71.1504
Inspectional Services,42.353,-71.0524
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3532,-71.1706
Parks & Recreation Department,42.2865,-71.0556
Parks & Recreation Department,42.3511,-71.1252
Parks & Recreation Department,42.3487,-71.1335
Parks & Recreation Department,42.3478,-71.1355
Parks & Recreation Department,42.3386,-71.1562
Parks & Recreation Department,42.3459,-71.1582
Parks & Recreation Department,42.3533,-71.1319
Parks & Recreation Department,42.3493,-71.1357
Parks & Recreation Department,42.3832,-71.0687
Parks & Recreation Department,42.375,-71.0628
Parks & Recreation Department,42.3778,-71.0623
Parks & Recreation Department,42.3773,-71.0652
Parks & Recreation Department,42.3791,-71.0591
Inspectional Services,42.3529,-71.0794
Parks & Recreation Department,42.3765,-71.056
Parks & Recreation Department,42.3305,-71.0362
Parks & Recreation Department,42.3305,-71.0364
Inspectional Services,42.2825,-71.097
Inspectional Services,42.3594,-71.0587
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3793,-71.0639
Inspectional Services,42.3497,-71.1619
Inspectional Services,42.2698,-71.0996
Inspectional Services,42.3153,-71.0972
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3821,-71.0372
Parks & Recreation Department,42.2951,-71.0743
Inspectional Services,42.3504,-71.1687
Parks & Recreation Department,42.2864,-71.0752
Inspectional Services,42.2682,-71.0941
Parks & Recreation Department,42.3462,-71.0789
Inspectional Services,42.3143,-71.0754
Inspectional Services,42.3425,-71.0834
Inspectional Services,42.3246,-71.1054
Inspectional Services,42.3452,-71.0628
Inspectional Services,42.3211,-71.103
Inspectional Services,42.3573,-71.1492
Parks & Recreation Department,42.2765,-71.1634
Inspectional Services,42.3453,-71.1451
Parks & Recreation Department,42.353,-71.0758
Inspectional Services,42.3589,-71.0661
Parks & Recreation Department,42.3594,-71.0587
Inspectional Services,42.3435,-71.0898
Inspectional Services,42.3359,-71.0453
Parks & Recreation Department,42.304,-71.0607
Parks & Recreation Department,42.3594,-71.0587
Parks & Recreation Department,42.3594,-71.0587
